Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),ENGL 111 A1,COMPOSITION: LIT,"HODGES, ROBERT H",23,10,13,,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 111 A2,COMPOSITION: LIT,"BOURBONNAIS, ALISSA S",23,22,,,,,,,,,,1,,,3.8
2015-16,20154 (Autumn 2015),ENGL 111 A3,COMPOSITION: LIT,"MCCAULEY, ALEXANDER P",23,17,3,1,2,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 111 A4,COMPOSITION: LIT,"GRAF, RACHEL",23,6,5,7,4,,,,,,,1,,,3.3
2015-16,20154 (Autumn 2015),ENGL 111 A8,COMPOSITION: LIT,"WEEKS, JEFFERY G",21,3,12,3,1,2,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 111 B,COMPOSITION: LIT,"SHAJIRAT, ANNA S",23,7,7,8,,1,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 111 C,COMPOSITION: LIT,"VAN HOUDT, JENNIFER",22,8,13,1,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 111 D,COMPOSITION: LIT,"MCCOY, SHANE A.",23,8,10,2,1,,2,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 111 E,COMPOSITION: LIT,"SOHN, ILSU",22,2,9,6,1,2,,,1,,,1,,,3.2
2015-16,20154 (Autumn 2015),ENGL 111 F,COMPOSITION: LIT,"SHAJIRAT, ANNA S",23,8,10,3,2,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 111 G,COMPOSITION: LIT,"WIRTH, JAMES B.",23,1,14,7,,,,,,,,,1,,3.4
2015-16,20154 (Autumn 2015),ENGL 111 H,COMPOSITION: LIT,"GRAY, ALEXANDRIA S",23,6,6,3,5,1,,2,,,,,,,3.3
2015-16,20154 (Autumn 2015),ENGL 111 I,COMPOSITION: LIT,"ABELLA, DAN D",23,2,12,4,2,1,1,,,,1,,,,3.3
2015-16,20154 (Autumn 2015),ENGL 111 J,COMPOSITION: LIT,"EBRAHIMZADEH, NAVID",23,3,10,4,3,,,,1,,,1,1,,3.1
2015-16,20154 (Autumn 2015),ENGL 111 K,COMPOSITION: LIT,"BOULWARE, TAYLOR J",22,7,10,4,1,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 111 L,COMPOSITION: LIT,"MCCOY, SHANE A.",23,12,7,1,,1,1,,,,1,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 111 M,COMPOSITION: LIT,"BOULWARE, TAYLOR J",23,6,13,4,,,,,,,,,,,3.6
